id,Title,areaOfStudy,Description,Faculty,level,corequisites,delivery_method,credits,maxenrollment,learning_outcomes,coursecode,Status,is_this_a_full-term_course_or_a_module_or_seven_week_course,coursetime_open,time_choice_0,time_choice_1,time_choice_2,time_choice_3
23567,“Beastly and Beautiful”: Vladimir Nabokov’s Lolita,Literature,"(Important Notice: This course focuses on the novel <em>Lolita, </em>which can be disturbing to some readers. Our class discussions will not be able to circumvent the narrative of an older man exploiting a child. Please be aware of this difficult material before registering for the course.)

In <a href=""https://en.wikipedia.org/wiki/Lolita"">Vladimir Nabokov’s </a><em>Lolita </em>(1955)<em>, </em>Humbert Humbert writes, “I am trying to describe these things not to relive them in my present boundless misery, but to sort out the portion of hell and the portion of heaven in that strange, awful, maddening world—nymphet love. The beastly and beautiful merged at one point, and it is that borderline I would like to fix.” It is precisely this <em>borderline</em> between “monster” and “fancy prose” stylist that we will examine in this course, which will also consider Nabokov’s <a href=""https://en.wikipedia.org/wiki/Speak,_Memory""><em>Speak, Memory: An Autobiography Revisited </em></a>(1951), his research on butterflies, as well as <em><a href=""https://en.wikipedia.org/wiki/The_Enchanter"">The Enchanter</a>, </em>a precursor to <em>Lolita</em>. When <em>Lolita </em>was first published, it was deemed “filthy” yet enjoyed the status as a best-seller, and it continues in the contemporary era to both attract and repel. In addition to reading academic scholarship on <em>Lolita</em>, we will also consider the recently published <a href=""https://www.penguinrandomhouse.com/books/612244/lolita-in-the-afterlife-by-edited-by-jenny-minton-quigley/""><em>Lolita in the Afterlife: On Beauty, Risk, and Reckoning with the Most Indelible and Shocking Novel of the Twentieth Century</em></a> (2021) as well as cultural and cinematic representations or reckonings of the novel.",Jenny Boully,2000,,Fully in-person,4,20,"-To interpret literature through historical, social, cultural, and literary considerations as well as independently through one’s own critical
discoveries and curiosities;
-To gain an overview of Nabokov's writings as applicable to historical and cultural considerations;
-To interpret a range contemporary and classical criticism of source texts within relevant cultural considerations;
-To eloquently discourse on literature while retaining one’s individual interpretation of a text.",LIT2571.01,publish,Full-term,,Tu/F 10:30AM - 12:20PM,,,
22898,Actors Instrument,drama,"<span data-sheets-root=""1"">An actor honors and bears witness to humanity by embodying and  giving voice to the human element in the landscape of theatrical collaboration. Investigating the impulses and intuitions that make us unique as individuals can also identify that which constitutes our shared humanity. Through exploration of the fundamentals of performance, students address the actor’s body, voice, and imagination as instruments for creating drama, conflict, action and story. Course work includes: relaxation techniques, improvisation, basic sensory and imagination exercises, character analysis, and beginning text work. We will read and discuss several plays throughout the term, as well as theory.</span>",Kirk Jackson,2000,Fulfillment of a Dance/Drama Lab is a requirement of this course.,Fully in-person,4,16,"The primary expectation in this class is active engagement and investment into whatever exercise or activity is being attempted. That means bringing just as much attention and curiosity to the work of others as to your own. The work basically includes:
1) Warming up – we do this almost every class.
2) Sense Memory – three or four different exercises.
3) Objective/Obstacle – prepared improvisation.
4) Open scenes – fun w/choosing &amp; playing actions.
5) Character Interviews – this will involve research.
6) Scene Work – requires 2-6 hours outside class rehearsal per week.
7) Discussion &amp; written reactions to plays and the material provided.
8) Various improvisations and games throughout.",DRA2170.01,publish,Full-term,,M/Th 10:00AM - 11:50AM,,,
23839,Advanced Design & Collaboration,drama,"<p style=""font-weight: 400;""><span style=""font-weight: 400;"">When theater starts with a script, visuals tend to follow the narrative. But what happens when bold visuals lead the way?</span></p>
<p style=""font-weight: 400;""><span style=""font-weight: 400;"">This course will offer students an accredited platform for design-centered, devised work focusing on collaboration and resulting in a student driven, designed production. </span></p>
<p style=""font-weight: 400;""><span style=""font-weight: 400;"">Three projects will be selected for the class. Students will need to join the class in collaboration groups with fellow  students - creating a collaborative devising team. Working together, we will foster a room in which to create live performance pieces that centralize design as the core impetus for devising. </span></p>
<p style=""font-weight: 400;""><span style=""font-weight: 400;"">Students should submit a proposal for the project along with their two to four key collaborators, which may include fellow designers, choreographers, directors, actors, dancers or writers. Students/key collaborators are required to attend a weekly community meeting that will take place during class time.  In these meetings groups will be encouraged to share process updates, hold design meetings, hold group presentations, initiate devising sessions and explore design developments.</span></p>
<p style=""font-weight: 400;""><span style=""font-weight: 400;"">Students will be responsible for the creation of the entire piece - from subject matter to executing the design ideas to managing the production and organizing rehearsals. There will be a small budget and some minimal production support.</span></p>
<p style=""font-weight: 400;""><span style=""font-weight: 400;"">Students eligible to apply for Advanced Design and Collaboration: </span></p>

<ol style=""font-weight: 400;"">
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Priority will be given to students who have demonstrated the skill level and experience to lead a design led devising process. </span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Students who have not taken design classes, but who have demonstrated a background in devised work, choreography or directing.</span></li>
</ol>",Tilly Grimes,4000-level,,Fully in-person,4,12,"The class will engage the student in every capacity: inquire, research, create, engage, and communicate. 
Develop skills refining their design work and ability to execute and refine their intention.
Honing their ability to collaborate and communicate effectively
Create organizational structure for their creative process. 
Students will serve as an artistic cohort of fellow creative makers for each other
",DRA4246.01,publish,Full-term,,,Tu 8:30AM - 12:10PM,,
23476,Advanced Forest Ecology & Conservation (with Lab),"Biology, Environment, science and mathematics","Forest ecosystems regulate climate, store and filter water, provide food and fiber, and serve as recreational areas and sacred spaces. These ecosystems are undergoing dramatic changes — climate change, deforestation, management — with important ecological, economic, and social consequences for the future of ecosystems and society. Vermont is among the most forested states in the U.S. today, but it's history since deglaciation includes dramatic changes in forest composition, Indigenous management, devastating deforestation by settler-colonists, rapid human population decline, forest re-growth, and conservation writing and work foundational to western conservation ethics. Vermont supports more than 90 different natural communities and lands protected by federal, state, and non-profit conservation work. In this class, students will hone their field and analytical methods in ecosystem science to explore how forest ecosystems are changing and how that influences the value we derive from forests. We will read peer-reviewed papers and visit local forest ecosystems to understand the relationships between forest composition and structure, ecosystem processes and function, and forest management and restoration in Vermont and beyond.",Caitlin McDonough MacKenzie,4000-level,,Fully in-person,4,16,"1. Be efficient and critical consumers of scientific literature
2. Write a publication quality literature review
3. Collect field data on forest ecosystem properties and processes
4. Share your knowledge on forest structure and function through written and oral communication
",BIO4323.01,publish,Full-term,"W 10:00AM - 11:50AM & 2:10PM - 4:00PM, Th 8:30AM - 12:10PM",,,,
24158,Advanced Guitar: Folk Styles,"Instrumental Study, music","Individual or small group lessons of advanced study on guitar. Continued studies from Intermediate Guitar. Advanced study in fret-board harmony and theory, playing in different tunings, increase chord vocabulary and repertoire, emphasis on finger picking styles.",John Kirk,4000-level,,Fully in-person,2,4,"• Learning personal music making skills through daily practice.
• Learning to teach yourself how to write, play, and practice as a lifelong art.
• Expanding awareness of music repertoire played on guitar.",MIN4361.01,publish,Full-term,,,,,
24110,Advanced Improvisation Ensemble for Dancers and Musicians,"Dance, Music","<span data-sheets-root=""1"">This class will be co-taught by Dance Faculty from the BFA and BA Dance program and is open to both groups of dance students as well as music students. This class is for students who have had training in improvisational practices. Students will explore and perform structures, paying attention to pattern recognition, arcs of development and the building of gestural, sonic, spatial, and energetic movement and sound vocabularies. Solo and Ensemble practices will be collaborative between dancers and musicians. The performance of improvisation as composition will be shared at the conclusion of the class. Musicians should be able to convey a sense of shape and form on their respective instruments.</span>","Susan Sgorbati, Michael Wimberly, & Jesse Zaritt",4000-level,,Fully in-person,2,20,"improvisation skills
pattern recognition
emergent forms
sonic and gestural vocabularies
performance practice",DAN4361.01,publish,Full-term,,,,Th 3:40PM - 5:30PM,
23122,Advanced Improvisation: The Game of the Scene,Drama,"<div class=""page"" title=""Page 2"">
<div class=""layoutArea"">
<div class=""column"">

Advanced Improvisation: GOTS is an in-depth study of improvised comedy scene work. The central theme of this course is finding and playing “Game.” In order to find a Game in a long form improvised scene, you typically need to be able to answer three questions:

</div>
<ol>
 	<li><span id=""What_is_the_situation.3F"" class=""mw-headline"">What is the situation?</span></li>
 	<li>What is the first unusual thing?</li>
 	<li>If this is true, then what else is true.</li>
</ol>
</div>
<div class=""page"" title=""Page 2"">
<div class=""layoutArea"">
<div class=""column"">

We’ll be building upon the basics learned in <em>Theater Games and Improvisation</em> (keeping things simple, listening, reacting, agreement, accepting offers, commitment, playing at the top of your intelligence, being specific) to help us find Game in both ‘premise-based’ and ‘organic’ scenes.

</div>
</div>
</div>
<div class=""layoutArea"">
<div class=""page"" title=""Page 1"">
<div class=""section"">
<div class=""layoutArea"">
<div class=""column"">

This course emphasizes character development through exercises and scene work, while introducing advanced improv theory and technique. You will be encouraged to make strong emotional and character choices. This course is fully in-person and has THREE class shows.

</div>
</div>
</div>
</div>
</div>
</div>",Shawtane Bowen,4000-level,Completion of a Dance or Drama lab assignment is a requirement for this course.,Fully in-person,4,16,"•Honing the ability to listen and react in real time.
•Develop comfort with moment to moment work and unknown consequence.
•Engender a sense of play through performance.
•Learn to collaborate in ensemble setting or with a partner.
•Begin to develop your comedic point of view a.k.a. ""the comedic voice.""",DRA4380.01,publish,Full-term,,,M 1:40PM - 5:20PM,,
22971,Advanced Jazz Piano,Instrumental Study,"Weekly private instruction in jazz piano to be arranged with instructor. Explore and develop skills and knowledge required to effectively play non-classical piano repertoire. Styles covered: blues, pop, folk, salsa, bossa-nova and jazz. Create bass lines, chord voicings, stylistic rhythms, melodies and improvised solos.
<div class=""heateor_sss_sharing_container heateor_sss_vertical_sharing heateor_sss_bottom_sharing"" data-heateor-sss-href=""https://curriculum.bennington.edu/fall2022/2022/04/04/advanced-jazz-piano/"">
<div class=""heateor_sss_sharing_ul""></div>
<div class=""heateorSssClear""></div>
</div>",Jen Allen,4000-level,,Fully in-person,2,5,"- Read lead sheets and interpret on piano
-Improvise
-Create chords easily
-Play in specific modern music styles",MIN4240.01,publish,Full-term,,,,,
23347,Advanced Printing and Projects in Lithography,"Design, Printmaking","This advanced level course is also an introduction to lithographic processes. Students will start by processing and printing images from limestone and end the semester by exploring the possibilities of making positive films to expose lithographic plates. This studio class is structured around a number of projects, each one ending with a group critique. Students should find the parameters of these assignments broad enough to allow for customization to their own artistic interests and are expected to bring additional content to their work from outside the classroom. The print studio is also focused on its community as part of its practice.

Besides creating work, we will look at a diverse range of historical and contemporary perspectives and sources to help inform our work. These will include looking at original works at the Clark, as well as reading artist writing, historical articles and other research. At the end of the term, students will have the skills and visual vocabulary to continue making lithographs as well as refine their work generally.",Thorsten Dennerline,4000-level,,Fully in-person,4,12,"Some possible learning outcomes:
- Designing projects
- Making and reading 2D images and visual language
- Lithographic printing, use of the presses, safety, practices etc
- Critical thinking
- Basic print history
- Community Building
- Refinement of work
- Creation of a portfolio",PRI4118.01,publish,Full-term,,,Th 1:40PM - 5:20PM,,
23526,Advanced Project: Analog/Digital Process in Ceramics,Ceramics,"Ceramics is the first material created by humankind, produced across scales and applications from the craft-studio to high-volume, automated manufacturing environments. Pleasing to the touch and easily manipulated by hand, it can also be subject to digital technologies and robotic approaches. This course investigates the material nature of clay as a medium to create three-dimensional forms. Students will explore the material aspects of clay using a variety of mechanical/digital processes and the intersection of traditional hand building methods, including coil construction and digital fabrication.

This course will explore digital design and production methods of ceramic objects within the context of contemporary art and design. Students will undertake a series of projects utilizing 3D modeling applications to produce forms that can be fabricated by additive technologies including direct extrusion of clay. It will emphasize introductory approaches to 3D modeling in Rhino software as well clay preparation for successful printing and printer operation.

&nbsp;",Anina Major,4000-level,,Fully in-person,2,10,Students are encouraged to experiment in this departure from traditional ceramic creation. Projects will be conceptually based requiring investigation on an individual level. Students will learn to build and manipulate simple clay objects on the computer to be digitally fabricated using 3D ceramic printers.,CER4317.01,publish,1st seven weeks,,,Th 8:30AM - 12:10PM,,
